time,open,high,low,close,tick_volume,spread,real_volume
2026-03-10 12:00:00,1.16382,1.16403,1.16211,1.16258,1963,8,0
2026-03-10 12:15:00,1.16258,1.16322,1.16222,1.16271,1662,8,0
2026-03-10 12:30:00,1.16271,1.1631,1.16226,1.16297,1661,8,0
2026-03-10 12:45:00,1.16297,1.16405,1.16297,1.16342,1575,8,0
2026-03-10 13:00:00,1.16341,1.16446,1.1633,1.16411,1674,8,0
2026-03-10 13:15:00,1.16411,1.16485,1.1639599999999999,1.16442,1403,8,0
2026-03-10 13:30:00,1.16442,1.16455,1.16327,1.16385,2721,8,0
2026-03-10 13:45:00,1.16385,1.16385,1.16288,1.16321,2013,8,0
2026-03-10 14:00:00,1.16322,1.16346,1.16267,1.16304,2111,8,0
2026-03-10 14:15:00,1.16304,1.16387,1.16297,1.16383,1620,8,0
2026-03-10 14:30:00,1.16383,1.16494,1.16381,1.16478,1532,8,0
2026-03-10 14:45:00,1.16478,1.165,1.16399,1.1648,1258,8,0
2026-03-10 15:00:00,1.1648,1.16512,1.16416,1.1645,1393,8,0
2026-03-10 15:15:00,1.1645,1.165,1.16394,1.16443,1356,8,0
2026-03-10 15:30:00,1.16442,1.16547,1.16426,1.16538,1309,8,0
2026-03-10 15:45:00,1.16538,1.16548,1.16439,1.16472,1533,8,0
2026-03-10 16:00:00,1.16472,1.16474,1.16387,1.16421,1273,8,0
2026-03-10 16:15:00,1.16421,1.16466,1.16412,1.16451,877,8,0
2026-03-10 16:30:00,1.16451,1.1654200000000001,1.16446,1.1647,1186,8,0
2026-03-10 16:45:00,1.1647,1.1654200000000001,1.16427,1.16514,1249,8,0
2026-03-10 17:00:00,1.16514,1.16604,1.16513,1.16548,1353,8,0
2026-03-10 17:15:00,1.16549,1.16669,1.16541,1.16593,1946,8,0
2026-03-10 17:30:00,1.16593,1.16593,1.16429,1.16441,2316,8,0
2026-03-10 17:45:00,1.16441,1.1646,1.16411,1.16448,1277,8,0
2026-03-10 18:00:00,1.16448,1.16456,1.16282,1.16291,1856,8,0
2026-03-10 18:15:00,1.16291,1.16373,1.16135,1.16336,4417,8,0
2026-03-10 18:30:00,1.1633499999999999,1.16389,1.16237,1.16255,2971,8,0
2026-03-10 18:45:00,1.16251,1.16327,1.16225,1.16241,2041,8,0
2026-03-10 19:00:00,1.16241,1.16266,1.16197,1.16254,1431,8,0
2026-03-10 19:15:00,1.16254,1.16283,1.16153,1.16158,1470,8,0
2026-03-10 19:30:00,1.16157,1.16197,1.16062,1.1614,2090,8,0
2026-03-10 19:45:00,1.1614,1.1615199999999999,1.1608,1.1614,1651,8,0
2026-03-10 20:00:00,1.1614,1.1615,1.16075,1.16131,705,8,0
2026-03-10 20:15:00,1.16131,1.16149,1.16097,1.1614200000000001,584,8,0
2026-03-10 20:30:00,1.1614200000000001,1.16146,1.16103,1.16105,310,8,0
2026-03-10 20:45:00,1.16105,1.16114,1.16084,1.16096,279,8,0
2026-03-10 21:00:00,1.16063,1.16073,1.16055,1.16055,53,17,0
2026-03-10 21:15:00,1.16055,1.16093,1.16053,1.16075,76,10,0
2026-03-10 21:30:00,1.16075,1.16101,1.16064,1.161,494,9,0
2026-03-10 21:45:00,1.161,1.16113,1.16092,1.16101,84,8,0
2026-03-10 22:00:00,1.16101,1.16127,1.16073,1.16085,140,8,0
2026-03-10 22:15:00,1.16085,1.1609,1.16059,1.1606,208,8,0
2026-03-10 22:30:00,1.1606,1.1607,1.16028,1.16042,235,8,0
2026-03-10 22:45:00,1.16042,1.16054,1.16026,1.1604700000000001,229,8,0
2026-03-10 23:00:00,1.1604700000000001,1.161,1.16046,1.16097,343,8,0
2026-03-10 23:15:00,1.16097,1.16105,1.16079,1.16079,229,8,0
2026-03-10 23:30:00,1.16079,1.16104,1.16079,1.16097,187,8,0
2026-03-10 23:45:00,1.16097,1.16117,1.1609,1.16111,321,8,0
2026-03-11 00:00:00,1.16111,1.16237,1.16053,1.16214,1064,8,0
2026-03-11 00:15:00,1.16214,1.16243,1.16185,1.16212,1025,8,0
2026-03-11 00:30:00,1.16212,1.16237,1.16173,1.16223,765,8,0
2026-03-11 00:45:00,1.16223,1.16246,1.16174,1.16174,739,8,0
2026-03-11 01:00:00,1.16174,1.162,1.16121,1.16182,873,8,0
2026-03-11 01:15:00,1.16183,1.16253,1.16164,1.16247,881,8,0
2026-03-11 01:30:00,1.16247,1.16253,1.16208,1.16241,840,8,0
2026-03-11 01:45:00,1.16241,1.16279,1.16234,1.16266,596,8,0
2026-03-11 02:00:00,1.16266,1.16283,1.16225,1.16237,592,8,0
2026-03-11 02:15:00,1.16237,1.16266,1.16202,1.16202,432,8,0
2026-03-11 02:30:00,1.16202,1.16228,1.16182,1.16225,485,8,0
2026-03-11 02:45:00,1.16225,1.1629,1.16217,1.16257,647,8,0
2026-03-11 03:00:00,1.16257,1.16292,1.16248,1.16271,446,8,0
2026-03-11 03:15:00,1.1627,1.16277,1.1625,1.1625,349,8,0
2026-03-11 03:30:00,1.1625,1.16314,1.1625,1.1630099999999999,394,8,0
2026-03-11 03:45:00,1.1630099999999999,1.16315,1.16262,1.16299,352,8,0
2026-03-11 04:00:00,1.16299,1.16314,1.16277,1.16311,499,8,0
2026-03-11 04:15:00,1.16311,1.1632,1.16297,1.16318,355,8,0
2026-03-11 04:30:00,1.16318,1.16331,1.16309,1.16328,380,8,0
2026-03-11 04:45:00,1.16328,1.16349,1.16318,1.16333,358,8,0
2026-03-11 05:00:00,1.16333,1.16358,1.16313,1.16315,534,8,0
2026-03-11 05:15:00,1.16315,1.16333,1.16297,1.1631,351,8,0
2026-03-11 05:30:00,1.16309,1.16351,1.16304,1.16333,552,8,0
2026-03-11 05:45:00,1.16333,1.16352,1.16309,1.16326,561,8,0
2026-03-11 06:00:00,1.16326,1.16393,1.16321,1.1639,755,8,0
2026-03-11 06:15:00,1.1639,1.16405,1.16341,1.16354,799,8,0
2026-03-11 06:30:00,1.16354,1.16393,1.16333,1.16356,575,8,0
2026-03-11 06:45:00,1.16356,1.16363,1.16295,1.1633,524,8,0
